split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
test,test_006_01,22846091,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,134,1,0,0
test,test_007_00,22847063,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,127,1,0,0
test,test_007_01,22847100,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,127,1,0,0
unseen,unseen_000_00,22841000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,109,1,0,0
unseen,unseen_000_01,22841037,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,110,1,0,0
unseen,unseen_001_00,22842009,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
unseen,unseen_001_01,22842046,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,106,1,0,0
unseen,unseen_002_00,22843018,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,120,1,0,0
unseen,unseen_002_01,22843055,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,122,1,0,0
unseen,unseen_003_00,22844027,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,111,1,0,0
unseen,unseen_003_01,22844064,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,110,1,0,0
unseen,unseen_004_00,22845036,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,113,1,0,0
unseen,unseen_004_01,22845073,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,114,1,0,0
unseen,unseen_005_00,22846045,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
unseen,unseen_005_01,22846082,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
unseen,unseen_006_00,22847054,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
unseen,unseen_006_01,22847091,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
unseen,unseen_007_00,22848063,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
unseen,unseen_007_01,22848100,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
unseen,unseen_008_00,22849072,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_008_01,22849109,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_009_00,22850081,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
unseen,unseen_009_01,22850118,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
